STORE_CD|PLU_CD|SCAN_CD1|SCAN_CD2|PLU_NM|BRAND_CD|GPLU_CDNRL_PRC|PRC_EVT_PRC|PRC_EVT_ST_DT|PRC_EVT_ED_DT
780|8410028020966|8410028020966|8410028020966|윌리엄&햄버트판도 피노|138392|21000|0||
780|8410036000097|8410036000097|8410036000097|프레시넷 빈티지 리제르바 2018|101235|24000|0||
780|8410036001094|8410036001094|8410036001094|프레시넷 프리미엄 로제|101235|20000|0||
780|8410036002015|8410036002015|8410036002015|코든 니그로(스)|101235|19000|17000|20241001|20241031
780|8410036008185|8410036008185|8410036008185|프렉시넷 뀌베 드 프레스티지|101235|37000|0||
780|8410036009090|8410036009090|8410036009090|프렛시넷 꼬든 네그로750㎖|101235|20000|17000|20241001|20241031
780|8410036805807|8410036805807|8410036805807|프레시넷 아이스 까바|101235|28000|0||
780|8410036806422|8410036806422|8410036806422|프레시넷 프로세코 DOC|101235|27000|0||
780|8410036806446|8410036806446|8410036806446|프레시넷 프로세코 DOCG|101235|60000|0||
780|8410036806934|8410036806934|8410036806934|프레시넷 로제 스파클링|101235|28000|0||
780|8801048000050|8801048000050|8801048000050|프랑수아 빌라르 꽁뚜르 드 드뽕상|130219|62000|0||
780|8801048000067|8801048000067|8801048000067|프랑수아 빌라르 크로즈 에르미따쥬 꼼|138392|70000|0||
780|8801048001149|8801048001149|8801048001149|시에피|138392|216000|0||
780|8801048001163|8801048001163|8801048001163|필리프750㎖|130219|73000|65000|20241011|20241031
780|8801048001200|8801048001200|8801048001200|찌솔라 도피오제타750㎖|138392|30000|0||
780|8801048001422|8801048001422|8801048001422|나바로 꼬레아스 로스 아르볼레스 말벡|138392|18000|0||
780|8801048001538|8801048001538|8801048001538|머드하우스 소비뇽블랑750㎖|130219|25000|0||
780|8801048001545|8801048001545|8801048001545|머드하우스 피노그리750㎖|130219|28000|0||
780|8801048001552|8801048001552|8801048001552|머드하우스 싱글빈야드 소비뇽블랑750|130219|31000|0||
780|8801048001675|8801048001675|8801048001675|메짜코로나 피노 그리지오0g|130219|18000|0||
780|8801048001682|8801048001682|8801048001682|메짜코로나 메를로0g|138392|16000|0||
780|8801048001729|8801048001729|8801048001729|산타헬레나 그란 레세르바 까베르네 소|138392|16000|0||
780|8801048001804|8801048001804|8801048001804|산타헬레나 샤르도네0g|138392|6000|0||
780|8801048001811|8801048001811|8801048001811|산타펠레나 까베르네 소비뇽0g|138392|5000|0||
780|8801048001866|8801048001866|8801048001866|캐릭터 까베르네 소비뇽0g|130219|7000|0||
780|8801048001873|8801048001873|8801048001873|캐릭터 말벡|130219|7000|0||
780|8801048001880|8801048001880|8801048001880|캐릭터 샤르도네|130219|7000|0||
780|8801048001927|8801048001927|8801048001927|카트눅 이스테이트 쉬라즈0g|138392|54000|0||
780|8801048001972|8801048001972|8801048001972|디킨 까베르네 소비뇽0g|130219|9000|0||
780|8801048001989|8801048001989|8801048001989|디킨 쉬라즈0g|130219|10000|0||
780|8801048001996|8801048001996|8801048001996|디킨 샤르도네0g|130219|10000|0||
780|8801048002009|8801048002009|8801048002009|디킨 모스카토0g|130219|10000|0||
780|8801048002320|8801048002320|8801048002320|두르뜨 그랑 떼루아 쏘떼른느|138392|41000|0||
780|8801048002382|8801048002382|8801048002382|샤또 라 갸르드 뻬싹 레오냥 루즈|138392|69000|0||
780|8801048002405|8801048002405|8801048002405|쌩떼밀리옹 그랑크뤼 1호0g|138392|80000|0||
780|8801048002429|8801048002429|8801048002429|샤또 뻬이 라 뚜르 리저브 보르도 수페|130219|41000|0||
780|8801048002443|8801048002443|8801048002443|두르뜨 그랑 떼루아 보르도 루즈0g|138392|7000|0||
780|8801048002450|8801048002450|8801048002450|끌로 드 로스 씨에떼|130219|48000|0||
780|8801048002474|8801048002474|8801048002474|마르께스 데 리스칼 그란 레세르바|130219|99000|0||
780|8801048002504|8801048002504|8801048002504|마르께스 데 리스칼 레세르바|130219|43000|41000|20241011|20241031
780|8801048002528|8801048002528|8801048002528|마르께스 데 리스칼 루에다|130219|20000|0||
780|8801048002535|8801048002535|8801048002535|리스칼 1860 템프라니요|138392|20000|0||
